year,state,type,acres,total_acres_all_vegetables
2008,Idaho,tomatoes,0.45,47.95
2008,Illinois,tomatoes,0,225.39999999999998
2008,Indiana,tomatoes,0,111.22
2008,Iowa,tomatoes,2.73,229.32999999999998
2008,Kansas,tomatoes,2,27.1
2008,Kentucky,tomatoes,0,60
2008,Louisiana,tomatoes,0.5,12.03
2008,Maine,tomatoes,26,757
2008,Maryland,tomatoes,16,249.65
2008,Massachusetts,tomatoes,4.04,629.69
2008,Michigan,tomatoes,6.85,1403.89
2008,Minnesota,tomatoes,7.24,1010.5600000000001
2008,Mississippi,tomatoes,0,12
2008,Missouri,tomatoes,0.4,159.26999999999998
2008,Montana,tomatoes,4,96.85
2008,Nebraska,tomatoes,0,757.2
2008,Nevada,tomatoes,0,31
2008,New Hampshire,tomatoes,0,360.2
2008,New Jersey,tomatoes,117,374.6
2008,New Mexico,tomatoes,3,491
2008,New York,tomatoes,222.2,3469.17
2008,North Carolina,tomatoes,48,2372.94
2008,North Dakota,tomatoes,0,232.60000000000002
2008,Ohio,tomatoes,0,454.34000000000003
2008,Oklahoma,tomatoes,0,236
2008,Oregon,tomatoes,38,5789
2008,Pennsylvania,tomatoes,0,1552.42
2008,Rhode Island,tomatoes,3.5,120.39999999999999
2008,South Carolina,tomatoes,0,122
2008,South Dakota,tomatoes,0,6.12
2008,Tennessee,tomatoes,0,208
2008,Texas,tomatoes,17.43,1901.46
2008,Utah,tomatoes,3,211
2008,Vermont,tomatoes,0,914
2008,Virginia,tomatoes,63.5,397.1
2008,Washington,tomatoes,50.1,18294.449999999997
2008,West Virginia,tomatoes,0,11.98
2008,Wisconsin,tomatoes,18,454.39
2008,Wyoming,tomatoes,0,0.1
2010,Alabama,tomatoes,0,273.279998779297
2010,Alaska,tomatoes,0,0
2010,Arizona,tomatoes,18.5,7403.1798450946835
2010,Arkansas,tomatoes,5,26.5
2010,California,tomatoes,8561.61115306616,100336.47404678105
2010,Colorado,tomatoes,25.4500000756234,3249.8399983315967
2010,Connecticut,tomatoes,3.29999995231628,205.86999682903286
2010,Delaware,tomatoes,0,50.0699996948242
2010,Florida,tomatoes,532.350006103516,4679.769927978521
2010,Georgia,tomatoes,2.25,2132.900019526482
2010,Hawaii,tomatoes,6.64999997615814,308.3200020742419
2010,Idaho,tomatoes,1.5,171.33000183105472
2010,Illinois,tomatoes,0.904999999329448,338.295001085326
2010,Indiana,tomatoes,7.75999999046326,247.6200002646449
2010,Iowa,tomatoes,5.66999995708466,351.2300015926363
2010,Kansas,tomatoes,0,23.84999990463257
2010,Kentucky,tomatoes,0,87.8700008392334
2010,Louisiana,tomatoes,0,24
2010,Maine,tomatoes,53,537.079999923706
2010,Maryland,tomatoes,12.8000001907349,731.8899965286259
2010,Massachusetts,tomatoes,19.8600006103516,1434.5200256347657
2010,Michigan,tomatoes,8.77999973297119,450.7440017741922
2010,Minnesota,tomatoes,7.84000018239021,698.4200153326988
2010,Mississippi,tomatoes,7,14
2010,Missouri,tomatoes,1,85.289999961853
2010,Montana,tomatoes,4,90.25999999046326
2010,Nebraska,tomatoes,0.00999999977648258,279.0599999897924
2010,Nevada,tomatoes,0,3421.499999523163
2010,New Hampshire,tomatoes,15,300
2010,New Jersey,tomatoes,26,403.710000038147
2010,New Mexico,tomatoes,0,321.7700004577646
2010,New York,tomatoes,125,2873.309998568599
2010,North Carolina,tomatoes,153.120000839233,2366.800007058677
2010,North Dakota,tomatoes,13.2299995422363,529.3099999427795
2010,Ohio,tomatoes,3.52999997138977,421.43999409675644
2010,Oklahoma,tomatoes,18,285
2010,Oregon,tomatoes,5.25,4548.080004908152
2010,Pennsylvania,tomatoes,4.25,1439.5466614723205
2010,Rhode Island,tomatoes,3.16000008583069,38.5399993133545
2010,South Carolina,tomatoes,0,240
2010,South Dakota,tomatoes,0,122.25
2010,Tennessee,tomatoes,0,2462.35009765625
2010,Texas,tomatoes,17.3100000321865,502.89700342513623
2010,Utah,tomatoes,1,192
2010,Vermont,tomatoes,0,1143
2010,Virginia,tomatoes,103.739998469129,1089.270028382763
2010,Washington,tomatoes,39.000001527369,3372.700022913511
2010,West Virginia,tomatoes,0,37
2010,Wisconsin,tomatoes,39.6600000709295,3020.5499489313343
2010,Wyoming,tomatoes,0,0
2011,Alabama,tomatoes,0,0
2011,Alaska,tomatoes,0,0
2011,Arizona,tomatoes,21.25,9021.270142555246
2011,Arkansas,tomatoes,12,133
2011,California,tomatoes,7929.53314965963,88724.23900026089
2011,Colorado,tomatoes,34.6099999621511,3264.310002472254
2011,Connecticut,tomatoes,3.90000009536743,244.30000692606006
2011,Delaware,tomatoes,0,58.0099983215332
2011,Florida,tomatoes,568.850006103516,4591.969879150391
2011,Georgia,tomatoes,0.125,2229.8499571979073
2011,Hawaii,tomatoes,26.4899997711182,1014.5299713611614
